position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
116,115,Medtronic,medtronic,medtronic,Medical Equipment & Supplies,Ireland,29361.0,110017.0,Ireland,,Omar S. Ishrak,,3969.0,97578.0,
117,117,Kraft Heinz Company,kraft-heinz-company,kraft-heinz-company,Food Processing,United States,26484.0,110395.0,Illinois,Illinois,Bernardo Vieira Hees,,3632.0,120480.0,
118,117,Saudi Basic Industries,saudi-basic-industries,saudi-basic-industries,Diversified Chemicals,Saudi Arabia,35413.0,80696.0,Saudi Arabia,,Yousef bin Abdullah Al-Benyan,,4756.1,84464.0,
119,119,Facebook,facebook,facebook,Computer Services,United States,27638.0,407300.0,California,California,Mark Elliot Zuckerberg,http://specials-images.forbesimg.com/imageserve/580f98184bbe6f0ad5da925c/280x425.jpg?fit=scale&background=000000,9487.0,64961.0,http://specials-images.forbesimg.com/imageserve/57ffe46c31358e6da6d7e8e2/416x416.jpg?background=000000&cropX1=1451&cropX2=5036&cropY1=0&cropY2=3588
120,120,Munich Re,munich-re,munich-re,Diversified Insurance,Germany,68764.0,30461.0,Germany,,Joachim Wenning,,2854.0,286949.0,
121,121,Intesa Sanpaolo,intesa-sanpaolo,intesa-sanpaolo,Regional Banks,Italy,24813.0,45265.0,Italy,,Carlo Messina,,3441.4,764799.0,
122,122,Barclays,barclays,barclays,Major Banks,United Kingdom,29187.0,45427.0,United Kingdom,,Jes Staley,,2362.6,1498999.0,
123,123,Rio Tinto,rio-tinto,rio-tinto,Diversified Metals & Mining,United Kingdom,33926.0,72901.0,United Kingdom,,Jean-Sébastien Jacques,,4683.5,89263.0,
124,124,BHP Billiton,bhp-billiton,bhp-billiton,Diversified Metals & Mining,Australia,33950.0,98308.0,Australia,,Andrew Mackenzie,,2433.6,119535.0,
125,125,CK Hutchison,ck-hutchison,ck-hutchison,Conglomerates,Hong Kong,33474.0,47389.0,Hong Kong,,Kin Ning Fok,,4252.3,130717.0,
126,126,Anheuser-Busch InBev,anheuser-busch-inbev,anheuser-busch-inbev,Beverages,Belgium,45558.0,213102.0,Belgium,,Carlos Alves de Brito,,1246.7,261139.0,
127,127,Taiwan Semiconductor,taiwan-semiconductor,taiwan-semiconductor,Semiconductors,Taiwan,29392.0,161734.0,Taiwan,,Te Yin Liu,,10364.0,58533.0,
128,128,Capital One Financial,capital-one-financial,capital-one-financial,Consumer Financial Services,United States,27906.0,40325.0,Virginia,Virginia,Richard D. Fairbank,,3727.0,357033.0,
129,129,LukOil,lukoil,lukoil,Oil & Gas Operations,Russia,74606.0,44570.0,Russia,,Vagit Yusufovich Alekperov,,3086.7,83185.0,
130,130,Swiss Re,swiss-re,swiss-re,Diversified Insurance,Switzerland,43621.0,32120.0,Switzerland,,Christian Mumenthaler,,3556.4,207604.0,
131,131,Amgen,amgen,amgen,Biotechs,United States,22683.0,120322.0,California,California,Robert A. Bradway,,7722.0,77626.0,
132,132,Banco do Brasil,banco-do-brasil,banco-do-brasil,Regional Banks,Brazil,57272.0,29044.0,Brazil,,Alexandre Corrêa Abreu,,2304.6,430570.0,
133,133,Bank of Montreal,bank-of-montreal,bank-of-montreal,Major Banks,Canada,19703.0,48552.0,Canada,,William A. Downe,,3834.1,531071.0,
134,134,Gilead Sciences,gilead-sciences,gilead-sciences,Biotechs,United States,30317.0,87036.0,California,California,John F. Milligan,,13501.0,56977.0,
135,135,China Communications Construction,china-communications-construction,china-communications-construction,Construction Services,China,64127.0,38839.0,China,,Xiang Liu,,2489.2,115327.0,
136,136,Honeywell International,honeywell-international,honeywell-international,Conglomerates,United States,39302.0,94594.0,New Jersey,New Jersey,Darius Adamczyk,,4742.0,54146.0,
137,137,Manulife,manulife,manulife,Life & Health Insurance,Canada,38918.0,34377.0,Canada,,Don A. Guloien,,2210.7,511337.0,
138,138,Korea Electric Power,korea-electric-power,korea-electric-power,Electric Utilities,South Korea,51880.0,25493.0,South Korea,,Hwan-Eik Cho,,6075.4,147240.0,
139,139,Generali Group,generali-group,generali-group,Diversified Insurance,Italy,90542.0,23711.0,Italy,,Philippe Donnet,,2302.0,553003.0,
140,140,Alibaba,alibaba,alibaba,Business & Personal Services,China,21493.0,264865.0,China,,Yong Zhang,,5713.6,70679.0,
141,141,KDDI,kddi,kddi,Telecommunications services,Japan,43156.0,68324.0,Japan,,Tadashi Onodera,,5129.6,52308.0,
142,142,China Telecom,china-telecom,china-telecom,Telecommunications services,China,53047.0,40414.0,China,,"Jie Yang, DBA",,2733.9,93873.0,
143,143,AbbVie,abbvie,abbvie,Pharmaceuticals,United States,25638.0,104466.0,Illinois,Illinois,Richard A. Gonzalez,,5923.0,66099.0,
144,143,Tokio Marine Holdings,tokio-marine-holdings,tokio-marine-holdings,Property & Casualty Insurance,Japan,44613.0,30563.0,Japan,,Tsuyoshi Nagano,,2777.1,189512.0,
145,145,Iberdrola,iberdrola,iberdrola,Electric Utilities,Spain,32318.0,46426.0,Spain,,José Ignacio Sánchez Galán,,2992.2,112548.0,
146,146,EDF,edf,edf,Electric Utilities,France,78765.0,23260.0,France,,Jean-Bernard Lévy,,2510.0,297060.0,
147,147,PNC Financial Services,pnc-financial-services,pnc-financial-services,Major Banks,United States,16064.0,57935.0,Pennsylvania,Pennsylvania,William Stanton Demchak,,3877.0,369353.0,
148,148,Tencent Holdings,tencent-holdings,tencent-holdings,Computer Services,China,22831.0,277122.0,China,,Hua Teng Ma,,6185.0,56968.0,
149,149,Allergan,allergan,allergan,Pharmaceuticals,Ireland,14967.0,80068.0,Ireland,,Brenton L. Saunders,http://specials-images.forbesimg.com/imageserve/5797b67f31358e154fddfc13/280x425.jpg?fit=scale&background=000000,14973.4,128986.0,http://specials-images.forbesimg.com/imageserve/5797b67f31358e154fddfc13/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
150,149,China Everbright Bank,china-everbright-bank,china-everbright-bank,Regional Banks,China,26128.0,26791.0,China,,Hao Cai,,4577.0,578465.0,
151,151,Credit Agricole,credit-agricole,credit-agricole,Regional Banks,France,18645.0,36512.0,France,,Philippe Brassac,,3542.0,1607684.0,
152,152,Lockheed Martin,lockheed-martin,lockheed-martin,Aerospace & Defense,United States,49919.0,78319.0,Maryland,Maryland,Marillyn A. Hewson,,3753.0,47806.0,
153,153,Time Warner,time-warner,time-warner,Broadcasting & Cable,United States,29318.0,76241.0,New York,New York,Jeffrey L. Bewkes,,3916.0,65966.0,
154,154,Duke Energy,duke-energy,duke-energy,Electric Utilities,United States,22743.0,57550.0,North Carolina,North Carolina,Lynn J. Good,http://specials-images.forbesimg.com/imageserve/5915cf1531358e03e559058f/280x425.jpg?fit=scale&background=000000,2666.0,132761.0,//specials-images.forbesimg.com/imageserve/5915cf1531358e03e559058f/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
155,155,Anthem,anthem,anthem,Managed Health Care,United States,85197.0,44046.0,Indiana,Indiana,Joseph R. Swedish,http://specials-images.forbesimg.com/imageserve/5ae8bb324bbe6f748687e3f8/280x425.jpg?fit=scale&background=000000,2469.8,65083.0,//specials-images.forbesimg.com/imageserve/5ae8bb324bbe6f748687e3f8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
156,156,Vale,vale,vale,Iron & Steel,Brazil,27148.0,45403.0,Brazil,,Fábio Schvartsman,,3818.6,99148.0,
157,157,Nordea Bank,nordea-bank,nordea-bank,Major Banks,Sweden,15068.0,45411.0,Sweden,,Casper W. von Koskull,,4171.2,649580.0,
158,158,Express Scripts,express-scripts,express-scripts,Healthcare Services,United States,100488.0,39927.0,Missouri,Missouri,Timothy C. Wentworth,,3404.4,51745.0,
159,159,United Parcel Service,united-parcel-service,united-parcel-service,Air Courier,United States,60502.0,91344.0,Georgia,Georgia,David P. Abney,http://specials-images.forbesimg.com/imageserve/5810c0644bbe6f0ad5da9eaa/280x425.jpg?fit=scale&background=000000,3431.0,40377.0,http://specials-images.forbesimg.com/imageserve/5810c0644bbe6f0ad5da9eaa/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
160,160,Aetna,aetna,aetna,Managed Health Care,United States,63164.0,45144.0,Connecticut,Connecticut,Mark T. Bertolini,,2260.3,69146.0,
161,161,China Shenhua Energy,china-shenhua-energy,china-shenhua-energy,Diversified Metals & Mining,China,26455.0,54095.0,China,,Wen Sun,,3416.0,82260.0,
162,162,VINCI,vinci,vinci,Construction Services,France,42641.0,43568.0,France,,Xavier Huillard,,2771.0,72857.0,
163,163,Bank of New York Mellon,bank-of-ny-mellon,bank-of-ny-mellon,Major Banks,United States,15618.0,48830.0,New York,New York,Gerald L. Hassell,,3495.0,333469.0,
164,164,Renault,renault,renault,Auto & Truck Manufacturers,France,56685.0,24586.0,France,,Carlos Ghosn Bichara,,3782.1,107693.0,
165,165,China Railway Group,china-railway-group,china-railway-group,Construction Services,China,95353.0,29633.0,China,,Dai Hegen,,1880.6,108602.0,
166,166,AIRBUS,airbus,airbus,Aerospace & Defense,France,73652.0,59472.0,France,,Thomas Enders,,1100.7,126173.0,
167,167,China Railway Construction,china-railway-construction,china-railway-construction,Construction Services,China,93213.0,26469.0,China,,Zhang Zongyan,,2099.3,109266.0,
168,167,China Vanke,china-vanke,china-vanke,Real Estate,China,33735.0,30546.0,China,,Liang Yu,,3122.1,119530.0,
169,169,Jardine Matheson,jardine-matheson,jardine-matheson,Conglomerates,Hong Kong,37051.0,47648.0,Hong Kong,,Ben Keswick,,2503.0,71523.0,
170,170,Qualcomm,qualcomm,qualcomm,Semiconductors,United States,23778.0,83187.0,California,California,Steven M. Mollenkopf,http://specials-images.forbesimg.com/imageserve/57911c66a7ea436bd18c8d40/280x425.jpg?fit=scale&background=000000,4889.0,52366.0,http://specials-images.forbesimg.com/imageserve/57911c66a7ea436bd18c8d40/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
171,171,Hewlett Packard Enterprise,hewlett-packard-enterprise,hewlett-packard-enterprise,Computer Hardware,United States,48764.0,30433.0,California,California,Meg Whitman,,3161.0,76662.0,
172,172,British American Tobacco,british-american-tobacco,british-american-tobacco,Tobacco,United Kingdom,19904.0,123765.0,United Kingdom,,Nicandro Durante,,6271.5,49146.0,
173,173,Visa,visa,visa,Consumer Financial Services,United States,15978.0,206396.0,California,California,"Alfred F. Kelly, Jr.",http://specials-images.forbesimg.com/imageserve/5810c16931358e2383162133/280x425.jpg?fit=scale&background=000000,5990.0,63370.0,http://specials-images.forbesimg.com/imageserve/5810c16931358e2383162133/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
174,174,China Pacific Insurance,china-pacific-insurance,china-pacific-insurance,Life & Health Insurance,China,40281.0,33472.0,China,,Huo Lianhong,,1815.0,143975.0,
175,174,MetLife,metlife,metlife,Diversified Insurance,United States,64690.0,57201.0,New York,New York,Steven Albert Kandarian,,800.0,905164.0,
176,176,AstraZeneca,astrazeneca,astrazeneca,Pharmaceuticals,United Kingdom,22969.0,75178.0,United Kingdom,,Pascal Soriot,,3651.4,62526.0,
177,177,Altria Group,altria-group,altria-group,Tobacco,United States,19337.0,138810.0,Virginia,Virginia,Martin J. Barrington,,14215.0,45932.0,
178,178,SAP,sap,sap,Software & Programming,Germany,24406.0,119722.0,Germany,,William R. McDermott,http://specials-images.forbesimg.com/imageserve/580fb72531358e23831619b3/280x425.jpg?fit=scale&background=000000,4016.6,46701.0,http://specials-images.forbesimg.com/imageserve/580fb72531358e23831619b3/416x416.jpg?background=000000&cropX1=344&cropX2=1248&cropY1=159&cropY2=1063
179,179,Costco Wholesale,costco-wholesale,costco-wholesale,Discount Stores,United States,121194.0,74892.0,Washington,Washington,Walter Craig Jelinek,http://specials-images.forbesimg.com/imageserve/580f96324bbe6f0ad5da9210/280x425.jpg?fit=scale&background=000000,2384.0,35630.0,http://specials-images.forbesimg.com/imageserve/580f96324bbe6f0ad5da9210/416x416.jpg?background=000000&cropX1=0&cropX2=832&cropY1=0&cropY2=832
180,179,Travelers,travelers,travelers,Property & Casualty Insurance,United States,27654.0,33580.0,New York,New York,Alan D. Schnitzer,,2992.0,101741.0,
181,181,Philip Morris International,philip-morris-international,philip-morris-international,Tobacco,United States,26714.0,176221.0,New York,New York,André Calantzopoulos,,6947.0,36851.0,
182,182,Union Pacific,union-pacific,union-pacific,Railroads,United States,19941.0,86811.0,Nebraska,Nebraska,Lance M. Fritz,,4233.0,56755.0,
183,183,Delta Air Lines,delta-air-lines,delta-air-lines,Airline,United States,39605.0,33009.0,Georgia,Georgia,Edward H. Bastian,,4373.0,58899.0,
184,184,Southern Company,southern-co,southern-co,Electric Utilities,United States,19869.0,49287.0,Georgia,Georgia,Thomas A. Fanning,http://specials-images.forbesimg.com/imageserve/5a944d004bbe6f0fa8269701/280x425.jpg?fit=scale&background=000000,2494.0,109697.0,//specials-images.forbesimg.com/imageserve/5a944d004bbe6f0fa8269701/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
185,185,Lowe's,lowes-cos,lowes-cos,Home Improvement Retail,United States,65017.0,71133.0,North Carolina,North Carolina,Robert A. Niblock,http://specials-images.forbesimg.com/imageserve/5a037fe44bbe6f37dda206dd/280x425.jpg?fit=scale&background=000000,3061.0,34408.0,//specials-images.forbesimg.com/imageserve/5a037fe44bbe6f37dda206dd/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
186,185,National Grid,national-grid,national-grid,Electric Utilities,United Kingdom,21946.0,47978.0,United Kingdom,,John Mark Pettigrew,,2906.4,81741.0,
187,187,Legal & General Group,legal-general-group,legal-general-group,Life & Health Insurance,United Kingdom,105456.0,18176.0,United Kingdom,,Nigel D. Wilson,,1697.4,571193.0,
188,188,McKesson,mckesson,mckesson,Pharmaceuticals,United States,196498.0,30517.0,California,California,John H. Hammergren,,2030.0,57874.0,
189,189,Christian Dior,christian-dior,christian-dior,Apparel/Accessories,France,43696.0,42741.0,France,,Sidney Toledano,,1951.3,68331.0,
190,190,PTT PCL,ptt-pcl,ptt-pcl,Oil & Gas Operations,Thailand,48735.0,32363.0,Thailand,,Tevin Vongvanich,,2646.1,63364.0,
191,191,Dai-ichi Life Insurance,dai-ichi-life-insurance,dai-ichi-life-insurance,Life & Health Insurance,Japan,55691.0,19869.0,Japan,,Katsutoshi Saito,,1734.8,438797.0,
192,192,Twenty-First Century Fox,twenty-first-century-fox,twenty-first-century-fox,Diversified Media,United States,28062.0,57505.0,New York,New York,James Rupert Murdoch,,3085.0,49207.0,
193,193,Canadian Imperial Bank,canadian-imperial-bank,canadian-imperial-bank,Major Banks,Canada,14569.0,34489.0,Canada,,Victor Dodig,,3569.0,393706.0,
194,194,FedEx,fedex,fedex,Air Courier,United States,57570.0,52312.0,Tennessee,Tennessee,Frederick Wallace Smith,http://specials-images.forbesimg.com/imageserve/580f98424bbe6f0ad5da9269/280x425.jpg?fit=scale&background=000000,1905.0,46781.0,http://specials-images.forbesimg.com/imageserve/57ffe56b31358e6da6d7e8f9/416x416.jpg?background=000000&cropX1=433&cropX2=2434&cropY1=0&cropY2=2000
195,194,GlaxoSmithKline,glaxosmithkline,glaxosmithkline,Pharmaceuticals,United Kingdom,37631.0,99751.0,United Kingdom,,Emma Walmsley,,1230.6,73003.0,
196,196,Deutsche Post,deutsche-post,deutsche-post,Air Courier,Germany,63423.0,40953.0,Germany,,Frank Appel,,2919.3,40636.0,
197,197,3M,3m,3m,Conglomerates,United States,30109.0,113537.0,Minnesota,Minnesota,Inge G. Thulin,,5050.0,32906.0,
198,198,L'Oréal Group,loreal-group,loreal-group,Household/Personal Care,France,28581.0,107454.0,France,,Jean-Paul Agon,http://specials-images.forbesimg.com/imageserve/580fa95631358e23831618b9/280x425.jpg?fit=scale&background=000000,3435.6,37581.0,http://specials-images.forbesimg.com/imageserve/58010da5a7ea4357a3e03647/416x416.jpg?background=000000&cropX1=1380&cropX2=4207&cropY1=6&cropY2=2832
199,199,Aflac,aflac,aflac,Life & Health Insurance,United States,22690.0,29246.0,Georgia,Georgia,Dan Amos,,2659.0,129819.0,
200,200,Allstate,allstate,allstate,Diversified Insurance,United States,36276.0,29616.0,Illinois,Illinois,"Thomas Joseph Wilson, II",,1877.0,110374.0,
201,201,Hitachi,hitachi,hitachi,Electronics,Japan,85804.0,25556.0,Japan,,Toshiaki Higashihara,,1752.8,82653.0,
202,202,Brookfield Asset Management,brookfield-asset-management,brookfield-asset-management,Real Estate,Canada,24872.0,35355.0,Canada,,Bruce Flatt,,1640.7,159826.0,
203,203,BT Group,bt-group,bt-group,Telecommunications services,United Kingdom,31668.0,38516.0,United Kingdom,,Gavin E. Patterson,,3081.8,53969.0,
204,204,NextEra Energy,nextera-energy,nextera-energy,Electric Utilities,United States,15210.0,60361.0,Florida,Florida,James L. Robo,http://specials-images.forbesimg.com/imageserve/5915c80ea7ea434078d3ed6e/280x425.jpg?fit=scale&background=000000,2895.0,89993.0,//specials-images.forbesimg.com/imageserve/5915c80ea7ea434078d3ed6e/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
205,205,BlackRock,blackrock,blackrock,Investment Services,United States,11210.0,62632.0,New York,New York,Larry Fink,,3172.0,220177.0,
206,206,Continental,continental,continental,Auto & Truck Parts,Germany,44856.0,42713.0,Germany,,Elmar Degenhart,,3100.1,39391.0,
207,206,MS&AD Insurance,msad-insurance,msad-insurance,Property & Casualty Insurance,Japan,47809.0,19186.0,Japan,,Yasuyoshi Karasawa,,2029.2,178271.0,
208,208,Aviva,aviva,aviva,Life & Health Insurance,United Kingdom,74329.0,25914.0,United Kingdom,,Mark Andrew Wilson,,948.6,511145.0,
209,209,Cigna,cigna,cigna,Managed Health Care,United States,39698.0,39024.0,Connecticut,Connecticut,"David Michael Cordani, CFA",,1867.0,60344.0,
210,210,Phillips 66,phillips-66,phillips-66,Oil & Gas Operations,United States,71172.0,39884.0,Texas,Texas,Greg C. Garland,,1549.0,51653.0,
211,211,Valero Energy,valero-energy,valero-energy,Oil & Gas Operations,United States,75659.0,29423.0,Texas,Texas,Joseph W. Gorder,,2289.0,46844.0,
212,212,Enbridge,enbridge,enbridge,Oil Services & Equipment,Canada,26106.0,69293.0,Canada,,Albert Monaco,,1561.6,64004.0,
213,213,Mondelēz International,mondelez-international,mondelez-international,Food Processing,United States,25923.0,67353.0,Illinois,Illinois,Dirk Van De Put,,1616.0,61538.0,
214,214,People's Insurance Company,peoples-insurance-company,peoples-insurance-company,Property & Casualty Insurance,China,64599.0,17472.0,China,,Fan Lin,,2148.0,129668.0,
215,215,McDonald's,mcdonalds,mcdonalds,Restaurants,United States,24622.0,106436.0,Illinois,Illinois,Stephen J. Easterbrook,http://specials-images.forbesimg.com/imageserve/580fae2c31358e238316191a/280x425.jpg?fit=scale&background=000000,4660.3,31024.0,http://specials-images.forbesimg.com/imageserve/580fae2c31358e238316191a/416x416.jpg?background=000000&cropX1=0&cropX2=1248&cropY1=0&cropY2=1248
