position,rank,name,uri,imageUri,industry,country,revenue,marketValue,headquarters,state,ceo,thumbnail,profits,assets,squareImage
1113,1113,Shanghai Electric Group,shanghai-electric-group,shanghai-electric-group,Heavy Equipment,China,11789.0,6741.0,China,,Di Nan Huang,,311.7,25273.0,
1114,1114,Xiamen C&D,xiamen-cd,xiamen-cd,Trading Companies,China,19346.0,4644.0,China,,Yong Da Zheng,,359.1,20313.0,
1115,1115,Lend Lease Group,lend-lease-group,lend-lease-group,Real Estate,Australia,11677.0,6628.0,Australia,,Stephen Barry McCann,,549.5,13690.0,
1116,1116,T Rowe Price,t-rowe-price,t-rowe-price,Investment Services,United States,4240.0,16852.0,Maryland,Maryland,"Bill Stromberg, CFA",,1173.0,6368.0,
1117,1117,Pgnig Group,pgnig-group,pgnig-group,Oil & Gas Operations,Poland,8414.0,8594.0,Poland,,Piotr Grzegorz Wozniak,,595.9,11899.0,
1118,1118,Galp Energia,galp-energia,galp-energia,Oil & Gas Operations,Portugal,14547.0,12784.0,Portugal,,Carlos Nuno Gomes da Silva,,197.9,13120.0,
1119,1119,Shenzhen Overseas,shenzhen-overseas,shenzhen-overseas,Hotels & Motels,China,4263.0,8933.0,China,,Ping Liu,,775.4,20352.0,
1120,1120,Kerry Group,kerry-group,kerry-group,Food Processing,Ireland,6782.0,14212.0,Ireland,,Stan McCarthy,,589.7,7828.0,
1121,1121,Celanese,celanese,celanese,Diversified Chemicals,United States,5389.0,12976.0,Texas,Texas,Mark C. Rohr,,900.0,8357.0,
1122,1122,Experian,experian,experian,Business & Personal Services,Ireland,4542.0,18899.0,Ireland,,Brian J. Cassin,http://specials-images.forbesimg.com/imageserve/598c5d2831358e60d775c34b/280x425.jpg?fit=scale&background=000000,829.3,7691.0,//specials-images.forbesimg.com/imageserve/598c5d2831358e60d775c34b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416
1123,1123,Legrand,legrand,legrand,Electrical Equipment,France,5552.0,15991.0,France,,Gilles Schnepp,,695.2,8555.0,
1124,1124,Datang International Power,datang-international-power,datang-international-power,Electric Utilities,China,8773.0,8302.0,China,,Jin Chen,,-389.8,33560.0,
1125,1125,HCP,hcp,hcp,Real Estate,United States,2496.0,14891.0,California,California,Thomas M. Herzog,,626.5,15759.0,
1126,1126,SES,ses,ses,Broadcasting & Cable,Luxembourg,2289.0,10627.0,Luxembourg,,Karim Michel Sabbagh,,1064.9,14393.0,
1127,1127,AGNC Investment,agnc-investment,agnc-investment,Investment Services,United States,1463.0,6637.0,Maryland,Maryland,Gary D. Kain,,623.0,56880.0,
1128,1128,Bank of Tianjin,bank-of-tianjin,no-pic,Regional Banks,China,3968.0,4313.0,China,,Fu Yuan,,682.6,94584.0,
1129,1129,Phoenix Group Holdings,phoenix-group-holdings,phoenix-group-holdings,Life & Health Insurance,United Kingdom,9886.0,3525.0,United Kingdom,,Clive Christopher Roger Bannister,,-136.3,93226.0,
